name,long,lat
BAY RIDGE PY/NEW UTRECHT AV,-74,40.616
BAY RIDGE PY/17 AV,-74,40.616
50 ST/9 AV,-74,40.642
49 ST/9 AV,-74,40.642
8 AV/47 ST,-74,40.642
8 AV/46 ST,-74,40.642
3 AV/26 ST,-74,40.663
3 AV/23 ST,-74,40.663
3 AV/21 ST,-74,40.663
3 AV/25 ST,-74,40.663
8 AV/W 17 ST,-73.999,40.744
8 AV/W 20 ST,-73.999,40.744
8 AV/W 23 ST,-73.999,40.744
7 AV/W 20 ST,-73.999,40.744
W 23 ST/9 AV,-73.999,40.744
W 23 ST/8 AV,-73.999,40.744
39 ST/6 AV,-74,40.652
5 AV/36 ST,-74,40.652
5 AV/34 ST,-74,40.652
5 AV/33 ST,-74,40.652
5 AV/34 ST,-74,40.656
5 AV/30 ST,-74,40.656
5 AV/33 ST,-74,40.656
W 42 ST/12 AV,-73.999,40.761
W 42 ST/11 AV,-73.999,40.761
12 AV/W 43 ST,-73.999,40.761
12 AV/W 42 ST ISLAND,-73.999,40.761
11 AV/W 44 ST,-73.999,40.761
12 AV/42 ST,-73.999,40.761
12 AV/W 42 ST,-73.999,40.761
11 AV/W 42 ST,-73.999,40.761
E BROADWAY/CATHERINE ST,-73.999,40.714
MADISON ST/OLIVER ST,-73.999,40.714
MADISON ST/CATHERINE ST,-73.999,40.714
BOWERY/BAYARD ST,-73.999,40.714
PARK ROW/WORTH ST,-73.999,40.714
WORTH ST/MOTT ST,-73.999,40.714
PARK ROW/ST JAMES PL,-73.999,40.714
MADISON ST/ST JAMES PL,-73.999,40.714
BROADWAY/GRAND ST,-73.999,40.719
CENTRE ST/BROOME ST,-73.999,40.719
E BROADWAY/CATHERINE ST,-74,40.712
ST JAMES PL/R F WAGNER SR PL,-74,40.712
FRANKFORT ST/PEARL ST,-74,40.712
MADISON ST/OLIVER ST,-74,40.712
PARK ROW/WORTH ST,-74,40.712
WORTH ST/MOTT ST,-74,40.712
PEARL ST / PEARL ST,-74,40.712
PARK ROW/ST JAMES PL,-74,40.712
MADISON ST/ST JAMES PL,-74,40.712
FRANKFORT ST / PEARL ST,-74,40.712
COURT ST/3 PL,-74,40.677
COURT ST/NELSON ST,-74,40.677
COURT ST/W 9 ST,-74,40.677
SMITH ST/W 9 ST,-74,40.677
MILL ST/CLINTON ST,-74,40.677
SMITH ST/9TH ST,-74,40.677
3 AV/30 ST,-74,40.661
3 AV/26 ST,-74,40.661
3 AV/23 ST,-74,40.661
3 AV/25 ST,-74,40.661
CROPSEY AV/BAY PY,-74,40.597
SHORE PY/BAY PY,-74,40.597
BATH AV/BAY PY,-74,40.597
BAY PKY/CROPSEY AV,-74,40.597
CROPSEY AV/BAY 31 ST,-74,40.597
E BROADWAY/CATHERINE ST,-74,40.713
ST JAMES PL/R F WAGNER SR PL,-74,40.713
WORTH ST/CENTRE ST,-74,40.713
MADISON ST/OLIVER ST,-74,40.713
PARK ROW/WORTH ST,-74,40.713
WORTH ST/MOTT ST,-74,40.713
PEARL ST / PEARL ST,-74,40.713
PARK ROW/ST JAMES PL,-74,40.713
MADISON ST/ST JAMES PL,-74,40.713
W HOUSTON ST/SULLIVAN ST,-74,40.728
W HOUSTON ST/MACDOUGAL ST,-74,40.728
W HOUSTON ST/GREENE ST,-74,40.728
W HOUSTON ST/W BROADWAY,-74,40.728
W HOUSTON ST/LA GUARDIA PL,-74,40.728
8 AV/W 14 ST,-74,40.739
W 14 ST/7 AV,-74,40.739
W 14 ST/8 AV,-74,40.739
7 AV/WEST 14 ST,-74,40.739
7 AV/W 17 ST,-74,40.739
W 16 ST/7 AV,-74,40.739
CLEVELAND  PL/SPRING ST,-73.999,40.724
BROADWAY/SPRING ST,-73.999,40.724
W HOUSTON ST/GREENE ST,-73.999,40.724
BROADWAY/W HOUSTON ST,-73.999,40.724
BROADWAY/PRINCE ST,-73.999,40.724
W HOUSTON ST/MERCER ST,-73.999,40.724
BROADWAY/BROOME ST,-73.999,40.724
BROOKLYN BRIDGE PK RD/JORALEMON ST,-74,40.694
BROOKLYN BRIDGE PARK RD/JORALEMON ST,-74,40.694
E BROADWAY/CATHERINE ST,-73.999,40.713
ST JAMES PL/R F WAGNER SR PL,-73.999,40.713
MADISON ST/OLIVER ST,-73.999,40.713
MADISON ST/CATHERINE ST,-73.999,40.713
BOWERY/BAYARD ST,-73.999,40.713
PARK ROW/WORTH ST,-73.999,40.713
WORTH ST/MOTT ST,-73.999,40.713
PEARL ST / PEARL ST,-73.999,40.713
PARK ROW/ST JAMES PL,-73.999,40.713
MADISON ST/ST JAMES PL,-73.999,40.713
AV OF THE AMERICAS/W 15 ST,-73.999,40.738
W 14 ST/7 AV,-73.999,40.738
W 14 ST/6 AV,-73.999,40.738
6 AV/ W 14 ST,-73.999,40.738
7 AV/WEST 14 ST,-73.999,40.738
7 AV/W 17 ST,-73.999,40.738
W 16 ST/7 AV,-73.999,40.738
AV OF THE AMERICAS/W 14 ST,-73.999,40.738
6 AV/W 14 ST,-73.999,40.738
10 AV/W 37 ST,-73.999,40.758
11 AV/W 38 ST,-73.999,40.758
